Absorbance
0.325
0.3544
0.351
0.5165
0.5257
0.5177
0.6313
0.6538
0.6451
0.3959
0.3882
0.3918
0.3753
0.3792
0.3761
0.4784
0.4895
0.4887
0.3289
0.3417
0.3395
