Absorbance
0.3872
0.4102
0.4237
0.6675
0.7136
0.7171
0.5091
0.5085
0.5591
0.7676
0.7854
0.8023
0.5997
0.6242
0.6415
0.4296
0.4359
0.4552
0.6071
0.6245
0.6254
